occupation,id,gender,fame,birthyear
creator,45860,male,star,1973
sports,472,female,star,1988
sports,40670,male,star,1987
creator,8938,male,star,1983
sports,12808,male,star,1972
performer,32318,female,star,1966
creator,21429,male,superstar,1976
creator,28809,female,star,1968
sports,2368,male,star,1990
performer,12516,male,star,1971
politics,26677,female,superstar,1946
sports,27049,male,star,1992
sports,6415,male,star,1981
professional,3050,male,star,1981
performer,22354,female,superstar,1992
science,25768,male,star,1978
sports,33921,male,star,1984
creator,18366,female,superstar,1970
professional,6002,male,star,1977
sports,43307,male,star,1973
sports,5488,male,star,1988
performer,27543,female,star,1970
creator,27558,female,superstar,1967
sports,26739,male,star,1991
sports,33415,male,star,1991
science,20372,male,star,1974
sports,27991,female,star,1984
performer,34590,female,star,1967
creator,6699,female,star,1966
sports,7109,male,star,1974
science,24368,male,star,1959
creator,46128,female,star,1957
performer,10816,female,star,1980
creator,1616,male,star,1971
creator,6585,male,star,1964
sports,5862,male,star,1985
performer,13013,male,superstar,1964
creator,29801,male,star,1967
performer,39122,male,superstar,1957
sports,29980,male,star,1995
sports,17487,female,star,1986
performer,34027,female,superstar,1968
performer,8921,female,star,1990
creator,16429,male,star,2000
performer,44959,female,star,2000
performer,26838,female,star,1999
creator,22879,male,superstar,1969
sports,33669,male,superstar,1986
sports,32032,male,star,1983
creator,25176,female,star,1984
performer,7945,female,superstar,1987
sports,39338,male,star,1981
sports,33984,male,star,1981
performer,30368,female,star,1972
politics,41205,male,star,1983
sports,11524,male,star,1985
sports,42889,male,star,1997
performer,7947,male,star,1949
politics,25977,female,star,1954
performer,29053,female,star,1959
sports,18912,male,star,1969
sports,42103,female,star,1990
performer,31179,male,star,2000
performer,34625,male,star,1967
creator,6555,female,star,1943
performer,42134,male,star,1950
sports,21172,female,rising,1972
creator,20644,female,superstar,1946
politics,20207,male,superstar,1988
sports,1171,male,star,1991
creator,46047,female,superstar,1980
politics,4247,female,star,1956
performer,27915,male,star,1946
sports,39660,female,superstar,1980
sports,16305,male,star,1980
sports,40702,male,star,1978
manager,15704,male,superstar,1953
sports,8308,male,superstar,1970
performer,25629,male,superstar,1989
sports,33954,female,star,1989
sports,500,female,star,1992
creator,11885,female,superstar,1950
politics,17956,male,star,1947
sports,35272,male,star,1970
sports,15599,female,star,1995
creator,45082,male,star,1980
performer,10495,male,superstar,1987
performer,19218,female,superstar,1958
performer,39996,male,star,1976
creator,45419,female,superstar,1964
sports,34672,male,rising,1999
creator,32760,female,superstar,1974
politics,28463,female,star,1971
performer,8666,male,star,1990
performer,43660,male,star,1991
performer,27307,female,superstar,1988
sports,25496,male,superstar,1993
creator,43533,male,star,1972
politics,39771,female,star,1964
sports,30535,male,superstar,1987
sports,36708,male,star,1994
sports,40836,male,star,1989
sports,4019,male,star,1967
performer,3291,female,superstar,1983
sports,36172,male,star,1987
performer,31706,male,star,1967
performer,19184,female,superstar,2001
sports,18775,male,star,1982
sports,21286,male,star,1992
sports,39371,male,star,1994
sports,31513,male,star,1992
sports,24279,male,star,1985
performer,6613,female,superstar,1984
creator,19591,female,star,1971
performer,7886,female,star,1973
manager,22169,male,superstar,1986
sports,7169,male,star,1979
creator,28995,female,star,1964
performer,31978,female,star,1968
sports,40072,male,star,1991
sports,48290,male,star,1964
sports,17310,male,star,1985
sports,30065,male,star,1983
sports,41196,male,star,1974
sports,22777,male,star,1987
sports,5911,male,star,1985
sports,41547,male,superstar,1958
performer,9474,male,star,1985
sports,26982,male,star,1979
sports,1825,male,star,1989
performer,9090,female,superstar,1986
sports,5346,male,star,1990
creator,45902,female,star,1978
sports,6819,male,star,1977
sports,2962,male,star,1995
performer,46653,male,star,1965
creator,17218,female,star,1977
performer,22967,male,superstar,1966
performer,21776,female,star,1981
sports,19573,male,rising,1987
sports,15166,male,star,1992
performer,41288,female,superstar,1984
manager,16099,male,superstar,1952
creator,31488,female,star,1976
performer,36731,male,star,1972
sports,42327,male,star,1986
sports,46152,male,star,1955
sports,8910,male,star,1985
sports,32503,male,star,1991
sports,26293,male,star,1987
performer,37917,female,star,1953
sports,8192,male,star,1989
creator,8356,male,superstar,1979
performer,47893,female,star,1974
sports,32488,male,star,1983
sports,18524,male,star,1991
sports,20274,male,rising,1992
creator,38124,male,star,1966
sports,11459,male,star,1992
creator,35416,female,superstar,1972
sports,43597,male,star,1988
performer,31385,female,superstar,1985
sports,26534,male,star,1969
sports,18579,male,star,1989
performer,18387,female,star,1976
performer,5302,male,superstar,1969
performer,12075,male,superstar,1966
sports,27683,male,star,1992
performer,24323,female,star,1985
performer,40531,male,star,1987
sports,30768,male,superstar,1982
sports,37307,male,rising,1998
creator,29342,male,superstar,1943
performer,18707,female,star,1988
sports,22390,male,star,1986
politics,11787,male,superstar,1964
sports,42783,male,star,1988
manager,18449,male,star,1956
performer,11945,male,star,1985
sports,14587,male,star,1993
performer,43428,female,superstar,1993
performer,5710,male,star,1980
manager,44521,male,superstar,1971
creator,26497,female,star,1971
sports,31301,male,star,1982
sports,28721,male,superstar,1977
sports,19919,male,star,1992
sports,39277,male,star,1988
performer,3689,male,superstar,1979
sports,30905,female,star,1976
performer,17370,male,star,1979
sports,45040,male,star,1978
sports,28745,male,star,1990
sports,17342,male,star,1973
sports,23086,male,star,1984
science,9192,male,star,1956
sports,32941,male,star,1941
sports,9795,male,star,1987
creator,46948,female,star,1968
performer,4123,male,superstar,1971
performer,44981,male,rising,1954
creator,7659,female,superstar,1970
performer,9488,male,star,1986
sports,6259,male,star,1954
performer,2292,male,superstar,1984
sports,40852,male,star,1983
performer,11999,male,star,1985
creator,19520,female,superstar,1969
manager,24505,male,star,1962
sports,46986,male,rising,1961
politics,2743,male,star,1971
sports,48155,male,star,1981
creator,15486,female,superstar,1972
creator,16510,female,star,1947
politics,32515,male,star,1970
politics,35868,male,star,1950
creator,15054,female,star,1958
performer,2041,male,star,1969
professional,36277,female,star,1962
sports,31294,male,superstar,1982
performer,28519,male,star,1957
politics,21415,male,star,1950
sports,15684,male,star,1968
sports,8186,male,star,1989
performer,590,male,star,1955
politics,7990,male,star,1971
sports,12017,male,star,1994
creator,41398,male,star,1964
sports,2472,male,star,1994
creator,34001,female,superstar,1965
performer,35157,female,star,1969
sports,14265,male,superstar,1986
performer,44812,male,star,1986
performer,32723,male,star,1968
performer,24791,male,star,1999
sports,40226,male,superstar,1982
creator,33312,female,star,1965
creator,19405,male,superstar,1965
performer,41964,female,superstar,1975
creator,20452,male,superstar,1992
science,40768,male,star,1978
creator,30648,female,star,1983
sports,45373,female,star,1997
politics,25419,male,rising,1961
performer,46097,male,star,1986
creator,20842,male,superstar,1969
creator,11028,male,star,1980
sports,28668,male,star,1987
politics,43408,male,superstar,1945
performer,11560,male,superstar,1966
politics,2350,male,star,1967
sports,21618,male,star,1971
sports,23650,male,star,1994
sports,35949,male,star,1981
sports,405,male,star,1977
sports,11805,male,star,1990
manager,47527,male,star,1976
sports,41609,male,star,1992
sports,4950,male,star,1991
sports,2516,female,star,1987
science,27822,male,star,1961
sports,35892,female,star,1992
creator,19545,female,superstar,1965
performer,29456,female,star,1955
creator,15453,male,superstar,1968
politics,38599,male,star,1965
sports,33991,male,star,1991
performer,38971,female,star,1997
performer,9961,male,star,1979
sports,15784,male,star,1989
performer,26357,male,superstar,1970
creator,32924,male,superstar,1953
sports,41826,female,star,1977
performer,4083,female,superstar,1981
sports,23512,male,star,1968
manager,29080,female,star,1959
sports,23997,male,star,1974
professional,41550,male,star,1962
sports,25592,female,superstar,1988
sports,20878,male,star,1989
creator,26673,male,star,2000
science,33463,male,star,1942
manager,32638,male,star,1982
sports,34913,male,star,1993
performer,1824,male,star,1976
politics,41314,female,star,1976
creator,11624,female,star,1976
performer,13425,male,star,1980
professional,7959,male,star,1959
sports,28977,male,star,1970
sports,4366,male,star,1993
creator,12144,male,star,1967
performer,47107,male,star,1947
creator,10386,female,star,1979
politics,30329,male,star,1948
sports,33998,male,star,1985
sports,11378,male,superstar,1979
sports,20800,female,star,1981
performer,10935,male,star,1985
